"Reference","Qty","Value","Footprint"
"BR1","1","DB107-BP","Diode_THT:Diode_Bridge_DIP-4_W7.62mm_P5.08mm"
"C1,C2,C3,C4,C7,C8,C13,C14","8","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm"
"C5","1","33nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm"
"C6","1","10nF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm"
"C9,C10","2","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"C11,C12","2","100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"D1,D3,D5","3","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"D2","1","LEDR","LED_THT:LED_D3.0mm"
"D4","1","LEDG","LED_THT:LED_D3.0mm"
"D6","1","LEDB","LED_THT:LED_D3.0mm"
"D7","1","LEDY","LED_THT:LED_D3.0mm"
"J1","1","Signal Input","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"J2,J3","2","Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal"
"Q1,Q2,Q3","3","2N3904","Package_TO_SOT_THT:TO-92_Inline"
"R1","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R2,R3","2","16k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R4","1","36k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R5,R6","2","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R7,R8","2","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R9,R11,R13","3","4k7","Resistor_SMD:R_2512_6332Metric"
"R10,R12,R14","3","470R","Resistor_SMD:R_2512_6332Metric"
"R15","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R16","1","0R","Resistor_SMD:R_2512_6332Metric"
"RV1","1","50k","Potentiometer_THT:Potentiometer_Bourns_3299W_Vertical"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16","16","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"U1","1","LM2902","Package_DIP:DIP-14_W7.62mm"
"U2","1","L7812","Package_TO_SOT_THT:TO-220-3_Vertical"
"U4","1","L7912","Package_TO_SOT_THT:TO-220-3_Vertical"
"U5","1","LM2904","Package_DIP:DIP-8_W7.62mm"
