Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DB107-BP","Diode_Bridge_DIP-4_W7.62mm_P5.08mm",117.380000,-71.000000,0.000000,top
"C1","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",147.950000,-136.000000,90.000000,top
"C2","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",168.000000,-130.500000,90.000000,top
"C3","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",158.000000,-116.000000,180.000000,top
"C4","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",142.950000,-136.000000,90.000000,top
"C5","33nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",137.950000,-136.000000,90.000000,top
"C6","10nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",173.500000,-116.000000,0.000000,top
"C7","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",173.500000,-122.000000,0.000000,top
"C8","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",173.500000,-128.000000,0.000000,top
"C9","470uF","CP_Radial_D8.0mm_P3.50mm",118.500000,-93.000000,0.000000,top
"C10","470uF","CP_Radial_D8.0mm_P3.50mm",118.500000,-112.000000,0.000000,top
"C11","100uF","CP_Radial_D8.0mm_P3.50mm",118.500000,-142.000000,0.000000,top
"C12","100uF","CP_Radial_D8.0mm_P3.50mm",118.500000,-130.000000,0.000000,top
"C13","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",149.000000,-91.500000,90.000000,top
"C14","100nF","C_Rect_L7.0mm_W2.5mm_P5.00mm",168.815000,-84.500000,90.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",186.227500,-85.000000,0.000000,top
"D2","LEDR","LED_D3.0mm",210.460000,-87.000000,0.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",186.417500,-106.000000,0.000000,top
"D4","LEDG","LED_D3.0mm",210.460000,-109.000000,0.000000,top
"D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",179.380000,-154.000000,0.000000,top
"D6","LEDB","LED_D3.0mm",209.460000,-139.000000,0.000000,top
"D7","LEDY","LED_D3.0mm",95.000000,-120.005000,0.000000,top
"J1","Signal Input","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",98.000000,-141.000000,-90.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",98.000000,-75.000000,-90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",97.962500,-102.920000,-90.000000,top
"Q1","2N3904","TO-92_Inline",200.037500,-77.000000,0.000000,top
"Q2","2N3904","TO-92_Inline",199.805000,-112.000000,0.000000,top
"Q3","2N3904","TO-92_Inline",199.730000,-142.000000,0.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",144.840000,-71.000000,0.000000,top
"R2","16k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",134.760000,-109.950000,0.000000,top
